20230518021618,10.0.1.1,44290,10.0.2.2,5001,3,0.0-1.0,98464,787712
20230518021619,10.0.1.1,44290,10.0.2.2,5001,3,1.0-2.0,0,0
20230518021620,10.0.1.1,44290,10.0.2.2,5001,3,2.0-3.0,0,0
20230518021621,10.0.1.1,44290,10.0.2.2,5001,3,3.0-4.0,0,0
20230518021622,10.0.1.1,44290,10.0.2.2,5001,3,4.0-5.0,0,0
20230518021623,10.0.1.1,44290,10.0.2.2,5001,3,5.0-6.0,0,0
20230518021624,10.0.1.1,44290,10.0.2.2,5001,3,6.0-7.0,0,0
20230518021625,10.0.1.1,44290,10.0.2.2,5001,3,7.0-8.0,0,0
20230518021626,10.0.1.1,44290,10.0.2.2,5001,3,8.0-9.0,0,0
20230518021627,10.0.1.1,44290,10.0.2.2,5001,3,9.0-10.0,0,0
20230518021627,10.0.1.1,44290,10.0.2.2,5001,3,0.0-10.3,98464,76808
