1687982311.334571;total;1283635.50;0.00;1283635.50;0;644385;890.44;0.00;890.44;0;447;0.00;0.00;0;0
1687982311.834701;h1-eth0;1288770.00;150.00;1288920.00;75;644385;894.00;2.00;896.00;1;447;0.00;0.00;0;0
1687982311.834719;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982311.834723;total;1288770.00;150.00;1288920.00;75;644385;894.00;2.00;896.00;1;447;0.00;0.00;0;0
1687982312.334924;h1-eth0;1289171.75;0.00;1289171.75;0;645875;894.21;0.00;894.21;0;448;0.00;0.00;0;0
1687982312.334950;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982312.334954;total;1289171.75;0.00;1289171.75;0;645875;894.21;0.00;894.21;0;448;0.00;0.00;0;0
1687982312.835508;h1-eth0;1285790.00;150.00;1285940.00;75;642895;892.00;2.00;894.00;1;446;0.00;0.00;0;0
1687982312.835522;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982312.835526;total;1285790.00;150.00;1285940.00;75;642895;892.00;2.00;894.00;1;446;0.00;0.00;0;0
1687982313.336685;h1-eth0;1286603.62;0.00;1286603.62;0;645875;892.43;0.00;892.43;0;448;0.00;0.00;0;0
1687982313.336714;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982313.336717;total;1286603.62;0.00;1286603.62;0;645875;892.43;0.00;892.43;0;448;0.00;0.00;0;0
1687982313.844963;h1-eth0;105781.50;1679.13;107460.63;853;53737;116.14;17.72;133.86;9;59;0.00;0.00;0;0
1687982313.844980;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982313.844984;total;105781.50;1679.13;107460.63;853;53737;116.14;17.72;133.86;9;59;0.00;0.00;0;0
1687982314.346018;h1-eth0;1217.13;0.00;1217.13;0;611;25.90;0.00;25.90;0;13;0.00;0.00;0;0
1687982314.346044;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982314.346048;total;1217.13;0.00;1217.13;0;611;25.90;0.00;25.90;0;13;0.00;0.00;0;0
1687982314.846467;h1-eth0;1410.00;150.00;1560.00;75;705;30.00;2.00;32.00;1;15;0.00;0.00;0;0
1687982314.846496;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982314.846500;total;1410.00;150.00;1560.00;75;705;30.00;2.00;32.00;1;15;0.00;0.00;0;0
1687982315.346637;h1-eth0;1407.19;0.00;1407.19;0;705;29.94;0.00;29.94;0;15;0.00;0.00;0;0
1687982315.346663;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982315.346667;total;1407.19;0.00;1407.19;0;705;29.94;0.00;29.94;0;15;0.00;0.00;0;0
1687982315.846904;h1-eth0;1504.00;150.00;1654.00;75;752;32.00;2.00;34.00;1;16;0.00;0.00;0;0
1687982315.846928;lo;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1687982315.846932;total;1504.00;150.00;1654.00;75;752;32.00;2.00;34.00;1;16;0.00;0.00;0;0
1687982316.347133;h1-eth0;1313.37;0.00;1313.37;0;658;27.94;0.00;27.94;0;14;0.00;0.00;0;0
