Connecting to host 10.0.2.2, port 5201
[  7] local 10.0.1.1 port 52891 connected to 10.0.2.2 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  7]  71.00-72.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  72.00-73.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  73.00-74.02  sec   123 KBytes   987 Kbits/sec  87  
[  7]  74.02-75.02  sec   132 KBytes  1.08 Mbits/sec  93  
[  7]  75.02-76.01  sec   126 KBytes  1.04 Mbits/sec  89  
[  7]  76.01-77.00  sec   132 KBytes  1.09 Mbits/sec  93  
[  7]  77.00-78.00  sec   129 KBytes  1.06 Mbits/sec  91  
[  7]  78.00-79.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  79.00-80.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  80.00-81.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  81.00-82.01  sec   124 KBytes  1.01 Mbits/sec  88  
[  7]  82.01-83.00  sec   132 KBytes  1.09 Mbits/sec  93  
[  7]  83.00-84.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  84.00-85.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  85.00-86.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  86.00-87.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  87.00-88.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  88.00-89.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  89.00-90.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  90.00-91.00  sec   129 KBytes  1.06 Mbits/sec  91  
[  7]  91.00-92.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  92.00-93.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  93.00-94.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  7]  94.00-95.02  sec   124 KBytes  1.00 Mbits/sec  88  
[  7]  95.02-96.01  sec   130 KBytes  1.08 Mbits/sec  92  
[  7]  96.01-97.02  sec   129 KBytes  1.04 Mbits/sec  91  
[  7]  97.02-98.00  sec   129 KBytes  1.08 Mbits/sec  91  
[  7]  98.00-99.00  sec   129 KBytes  1.05 Mbits/sec  91  
[  7]  99.00-100.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 100.00-101.00 sec   129 KBytes  1.05 Mbits/sec  91  
[  7] 101.00-102.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 102.00-103.07 sec   127 KBytes   977 Kbits/sec  90  
[  7] 103.07-104.00 sec   130 KBytes  1.14 Mbits/sec  92  
[  7] 104.00-105.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 105.00-106.01 sec   126 KBytes  1.02 Mbits/sec  89  
[  7] 106.01-107.00 sec   130 KBytes  1.08 Mbits/sec  92  
[  7] 107.00-108.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 108.00-109.00 sec   129 KBytes  1.05 Mbits/sec  91  
[  7] 109.00-110.00 sec   129 KBytes  1.05 Mbits/sec  91  
[  7] 110.00-111.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 111.00-112.00 sec   129 KBytes  1.05 Mbits/sec  91  
[  7] 112.00-113.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 113.00-114.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 114.00-115.00 sec   129 KBytes  1.06 Mbits/sec  91  
[  7] 115.00-116.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 116.00-117.00 sec   129 KBytes  1.05 Mbits/sec  91  
[  7] 117.00-118.00 sec   129 KBytes  1.06 Mbits/sec  91  
[  7] 118.00-119.00 sec   127 KBytes  1.04 Mbits/sec  90  
[  7] 119.00-120.04 sec   129 KBytes  1.02 Mbits/sec  91  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  7]   0.00-120.04 sec  15.0 MBytes  1.05 Mbits/sec  0.000 ms  0/10863 (0%)  sender
[  7]   0.00-120.08 sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  receiver

iperf Done.
